DEVSQUARE;91055016900015;910550169;62.02A;;;78297
G ESPINOSA;91054982300011;910549823;62.02A;;;75101
COCKP'IT;91054843700011;910548437;62.02A;;;92020
NEW ORBIT;91054601900019;910546019;62.02A;;;95598
INTER IT;91054331300019;910543313;62.02A;;;69290
NEURA-IO;91054050900015;910540509;62.02A;;;75108
PMC30;91053047600019;910530476;62.02A;;;30123
MINDATA;91052199600017;910521996;62.02A;;;69282
KAIZEN;91051079100015;910510791;62.02A;;;31555
OMFA CONSULTING;91050795300016;910507953;62.02A;;;31555
LAMATECH;91048554900018;910485549;62.02A;;;38340
DECIBEL;91040789900012;910407899;62.02A;;;97411
;91031539900014;910315399;62.02A;;;92062
SMART SQUIRREL;91030038300015;910300383;62.02A;;;77018
COMSEC;91007025900015;910070259;62.02A;;;57323
;90925403900011;909254039;62.02A;;;92062
AGHANIM CONSULTING;90877191800012;908771918;62.02A;;;59009
KLN CONSULTING;90418902400014;904189024;62.02A;;;78311
FT BRANDS;90418803400014;904188034;62.02A;;;22070
AMAYADE;90418086600017;904180866;62.02A;;;33039
CHRYSALIDE INFORMATIQUE;90040019300018;900400193;62.02A;;;95176
;90027803700016;900278037;62.02A;;;88099
CYBER QUANTI;89837890600017;898378906;62.02A;;;95555
;89443297000016;894432970;62.02A;;;06088
TONY-IT;89318259200012;893182592;62.02A;;;91421
GOODALGO;89200401100011;892004011;62.02A;;;31555
;88957607000011;889576070;62.02A;;;69266
CLICCONCEPT;88503991700012;885039917;62.02A;;;21521
DJT CONSEIL;88336451500014;883364515;62.02A;;;33009
CATYES CONSULTING;88333253800023;883332538;62.02A;;;13019
OUWAYS CONSULTING;87863079700016;878630797;62.02A;;;92050
DEME CONSULTING;87780516800011;877805168;62.02A;;;77083
NAVVIA;85261697800015;852616978;62.02A;2019;01;75115
MAZZA;84950842900024;849508429;62.02A;;;78140
CONVERTEO TECHNOLOGY;84357375900027;843573759;62.02A;2019;11;75110
AJI CREATIVE;84155219300036;841552193;62.02A;;;75101
ARCSITES;83843922200012;838439222;62.02A;;;67365
;83768249100035;837682491;62.02A;;;01446
WINDYGLIA CONSULTING;83451508200032;834515082;62.02A;;;94054
PITADJI TECH;83251293300025;832512933;62.02A;;;75115
COTO CONSEIL;82754354700026;827543547;62.02A;;;49183
DE ADIS;82235231600027;822352316;62.02A;;;50400
VIRTUAPROD;81776600900036;817766009;62.02A;;;69072
DEV NEW TECH;81163043300027;811630433;62.02A;;;91312
SHIFT CONSULTING;79521017800039;795210178;62.02A;2019;21;69383
ARCHIMED;78872235300018;788722353;62.02A;2019;12;59350
ROUND THE CLOCK;78853223200014;788532232;62.02A;;;75103
SYNANTO LYON;53821651600053;538216516;62.02A;;;69382
KAMP'N;53398925700050;533989257;62.02A;;;75108
MECHTAOUI IT;52892692600015;528926926;62.02A;2019;01;92046
